Title,Description,Date,Archive,Download_URL
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe6.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe7.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:KarahantepeHumanHead.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:KarahantepeHumanStatue.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Phrygie._Chiaour_(i.e._Ghiaour)_Kal%C3%A9%C3%A7i._Murailles_de_la_forteresse_et_figures_sculpt%C3%A9es_sur_le_roc_-_E._Guillaume_del._;_J._Laurens_Lith._;_Imp._Lemercier_rue_de_Seine_57_Paris._LCCN2009631561.tif
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Seleucie_Chapot.png
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Untitled_-_panoramio_-_izcoban.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Monastir_Studenica_I.JPG
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Wikipedia-logo-v2.svg/20px-Wikipedia-logo-v2.svg.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Library_of_Congress_favicon.png/20px-Library_of_Congress_favicon.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Logo_BnF.svg/20px-Logo_BnF.svg.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/BNE_logo.svg/20px-BNE_logo.svg.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:2016_WLM_-_OVEDC_-_PEKIIN_-_ELEF_MILIM_184.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:A_view_from_The_Sphendone_of_the_Hippodrome.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Affreschisanleonenocera2023.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Ayasofiya_Trabzon1.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Ayasofiya_Trabzon2.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Byzantine_Callatis_-Mangalia.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Byzantine_church_in_Nahariya_FEB2023.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:ByzMuzeunacional.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cathedral_and_info_sign_at_Um_el_Jimal.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Mitropoli_Church_Giannitsa.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Panorama_of_the_Barracks_at_Roman_Um_al_Jimal.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Plan_of_the_former_Byzantine_Basilica_in_%C4%86urlina,_Doljevac,_Ni%C5%A1ava_District,_Serbia_(11168498595).jpg"
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Porch_in_the_Byzantine_style,_consisting_of_four_marble_columns_supporting_a_dome,_in_front_of_the_entrance_of_St_Laura_-_Curzon_Robert_-_1849.jpg"
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Room_inside_Praetorium_Um_el_Jimal.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Saint_Demetrios_Church,_Volos.jpg"
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:St.Peter_-_Mount_Parnitha.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_Americana;_a_universal_reference_library,_comprising_the_arts_and_sciences,_literature,_history,_biography,_geography,_commerce,_etc.,_of_the_world_(1908)_(14761661546).jpg"
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Tyre-AlBass_ByzantineArch_RomanDeckert20112019.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Underground_arched_reservoir.jpg
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Voute.arete.byzantine.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Zeyrek_Camii_giri%C5%9F.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Zeyrek_Camii_kap%C4%B1.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Zeyrek_Camii_kubbe.png
Category:Byzantine architecture - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Zeyrek_Camii_minber.png
